Government Outstanding Debt,0
Net Interest Rate,0.06034989261726621
Wage Tax Revenue,0.11294199548078218
Social Average Wage Level,3.204966249984874
Capital,5.212216800043888
Wage Scaling Factor,0.5804859041161611
D/Y Ratio,0
Average Transfer Amount from Firm Medical Contribution to the Retired,0
Gap of Pool Medical Account,0.014722170776557256
Labour,0.14683201226943232
Consumption Tax Revenue,0.06450641347645425
GDP/Output,1.0457592079257905
Investment,0.26061083921344996
Government Purchase,0.140084233947798
