Government Outstanding Debt,0
Net Interest Rate,0.06592043045834439
Wage Tax Revenue,116.83005669553548
Social Average Wage Level,387.2580645541619
Capital,5132.554114498855
Wage Scaling Factor,0.5518655049575064
D/Y Ratio,0
Average Transfer Amount from Firm Medical Contribution to the Retired,0
Gap of Pool Medical Account,41.86646054648788
Labour,1.2570219905444615
Consumption Tax Revenue,75.13275930508819
GDP/Output,1081.7597846600324
Investment,256.6277051054549
Government Purchase,73.80448650369578
